PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
694,1,3,"Rice, Mrs. William (Margaret Norton)",male,1.25,7,1,312991,11.8276,,S
42,1,3,"Lindell, Mr. Edvard Bengtsson",male,,0,5,4136,18.4545,,S
518,0,1,"Widener, Mr. Harry Elkins",female,27.52,0,1,219533,0.0,,C
406,1,3,"Canavan, Miss. Mary",male,24.88,0,2,347083,0.0,C110,C
891,0,1,"Sdycoff, Mr. Todor",male,6.13,0,2,349239,2.6377,G6,S
891,1,3,"Perkin, Mr. John Henry",male,,0,0,54636,0.3839,,C
891,1,3,"Becker, Master. Richard F",male,0.42,0,0,219533,20.1277,,S
565,0,3,"Stoytcheff, Mr. Ilia",male,25.93,0,0,29104,20.2337,,C
534,1,1,"Collyer, Mr. Harvey",male,,0,2,219533,173.3173,,Q
891,0,1,"Kantor, Mrs. Sinai (Miriam Sternin)",male,26.32,0,2,29106,0.0,,S
891,0,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,25.29,1,1,113794,0.0,,S
1,0,3,"Long, Mr. Milton Clyde",male,,0,0,219533,23.7588,,C
1,1,3,"Hogeboom, Mrs. John C (Anna Andrews)",male,,1,0,2651,106.8873,,Q
696,0,1,"Nicola-Yarred, Master. Elias",male,25.68,0,1,349239,0.0,,C
1,1,3,"Bailey, Mr. Percy Andrew",male,80.0,0,0,349219,3.6218,,S
313,1,3,"Daly, Mr. Eugene Patrick",male,27.4,0,0,A/5 21174,7.2889,,C
585,1,3,"Wick, Mrs. George Dennick (Mary Hitchcock)",male,,1,1,349239,18.9349,,C
1,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,0.42,0,0,113796,371.0306,,S
1,0,2,"Campbell, Mr. William",male,,7,1,349239,27.1488,,C
461,1,1,"Silverthorne, Mr. Spencer Victor",female,,1,0,347466,0.0,,S
1,0,3,"Rosblom, Mr. Viktor Richard",male,56.02,1,0,113796,20.3739,,S
825,0,3,"Sheerlinck, Mr. Jan Baptist",male,80.0,1,0,113794,0.0,,S
1,0,3,"Futrelle, Mr. Jacques Heath",male,61.64,1,0,370365,22.5357,,C
891,0,1,"Silverthorne, Mr. Spencer Victor",male,0.42,1,0,219533,24.0666,,C
1,1,3,"Novel, Mr. Mansouer",male,2.01,0,0,349239,11.458,,S
285,1,3,"Coleff, Mr. Satio",male,,3,0,113796,3.7551,F G63,C
1,0,3,"O'Sullivan, Miss. Bridget Mary",male,,1,0,A/4. 20589,24.0896,,S
